,p,d,m
1,584,1,12239.2511
2,695,1,9692.692492
3,584,1,13221.7917
4,584,1,11392.34102
5,770,0,7287.127696
6,584,1,10665.21299
7,584,1,7970.287229
8,584,1,10116.98972
9,584,1,8499.533955
10,584,1,7120.883317
11,584,1,11152.3497
12,584,1,12122.32225
13,695,1,9464.262257
14,695,0,8570.964673
15,584,0,6158.781428
16,584,1,9799.477617
17,859,0,7626.438091
18,695,1,10443.0768
19,695,0,7992.868169
20,584,1,8472.318773
21,584,1,13499.31417
22,666,0,9052.42457
23,584,0,4980.139494
24,689,0,9833.344726
25,584,1,10283.09849
26,695,0,8820.763169
27,584,1,10419.79735
28,584,0,7809.849472
29,584,0,8461.521365
30,770,0,7288.43328
31,666,1,12695.51594
32,695,1,11447.73994
33,770,1,11546.77177
34,770,1,14605.72349
35,770,0,8983.07773
36,695,1,13426.83589
37,695,0,7709.652014
38,584,1,8284.977492
39,584,1,8958.897756
40,770,0,8300.42651
41,584,1,8169.687105
42,695,1,15585.13863
43,859,0,8307.724277
44,584,1,10544.08047
45,584,1,11946.50912
46,584,1,15250.09312
47,695,0,10282.64043
48,584,1,10566.00876
49,695,1,12165.05514
50,584,0,8608.929001
51,584,1,11311.17645
52,695,1,12694.93484
53,770,0,8506.945705
54,584,1,9286.177563
55,584,1,10808.04821
56,584,1,11901.97172
57,770,0,9214.057037
58,695,1,14255.03649
59,666,0,11454.36852
60,695,0,10392.15008
61,584,1,9378.010327
62,584,1,9343.945619
63,584,1,9573.870409
64,666,1,9512.471188
65,666,1,13443.43935
66,584,1,14819.98816
67,584,1,9157.678353
68,695,0,9626.147711
69,584,1,12476.95284
70,666,1,11448.35627
71,584,1,10367.02009
72,770,0,14447.61714
73,584,1,9444.100988
74,770,1,12002.67305
75,584,1,9484.933288
76,770,0,9674.083146
77,584,1,9082.90887
78,584,1,14060.7073
79,695,1,10552.37051
80,770,1,13463.91035
81,584,1,8563.962058
82,666,1,15026.12189
83,584,1,11038.40768
84,666,1,9893.214259
85,666,0,7383.601611
86,770,0,11307.53706
87,695,1,11780.5816
88,695,0,10704.81827
89,859,0,10526.53399
90,584,1,9633.877723
91,584,1,11852.2054
92,666,1,13860.62027
93,695,1,13010.1406
94,666,1,13168.58072
95,695,1,12483.39604
96,695,1,12671.35788
97,584,1,11839.12262
98,859,0,14695.74619
